country_origin_id,country_destination_id,import_val
BRA,BLX,5376.98
COL,BLX,18642.32
ECU,BLX,276996.84
PER,BLX,9227.82
VEN,BLX,2743
CIV,POL,30045203.84
DJI,POL,56021.36
ARE,POL,237417
CHN,POL,520893.09
CYP,POL,936623
GEO,POL,149181
IDN,POL,46486.6
ISR,POL,1994.86
TUR,POL,456179.14
VNM,POL,11572.77
AUT,POL,27784071.53
BGR,POL,12301241.75
BLX,POL,39155996.9
CHE,POL,2990657.16
CZE,POL,35704054.91
DEU,POL,273443398.4
DNK,POL,2561127.81
ESP,POL,4216923.46
EST,POL,15339
FIN,POL,1603231.76
FRA,POL,16903319.19
GBR,POL,38673545.07
GRC,POL,543391.09
HRV,POL,155206.38
HUN,POL,5216055.41
IRL,POL,521700.35
ITA,POL,69335216.42
LTU,POL,8027789.53
LVA,POL,8484275.03
MDA,POL,229997.86
NLD,POL,32730262.79
NOR,POL,864016.32
PRT,POL,600832.52
ROU,POL,2430483.91
RUS,POL,2098502.87
SVK,POL,19842445.32
SVN,POL,993923.67
SWE,POL,1812490.67
UKR,POL,2165012.47
CAN,POL,4710.42
MEX,POL,7105.48
USA,POL,774019.19
ARG,POL,4874.36
COL,POL,9608.84
PER,POL,1741
CPV,ESP,41961
MAR,ESP,3749
CHN,ESP,62519.59
ISR,ESP,41000
THA,ESP,4577
TUR,ESP,523738.54
XXB,ESP,17215.51
AUT,ESP,25442500.13
BGR,ESP,891746.11
BLX,ESP,61803613.28
CHE,ESP,17470737.68
CZE,ESP,2401867.05
DEU,ESP,144796623.7
DNK,ESP,1335488.82
FIN,ESP,220541.36
FRA,ESP,149093832.3
GBR,ESP,15495680.96
GRC,ESP,327626.05
HRV,ESP,10754
HUN,ESP,1787035.19
IRL,ESP,850238.35
ITA,ESP,91059170.79
LTU,ESP,144013.39
LVA,ESP,78446.59
MKD,ESP,22456.94
NLD,ESP,25701069.63
NOR,ESP,29935.76
POL,ESP,8218402.32
PRT,ESP,7594172.9
ROU,ESP,1042499.8
RUS,ESP,630575.64
SVK,ESP,317103.23
SVN,ESP,1505913.68
SWE,ESP,2894415.71
UKR,ESP,316834.53
CAN,ESP,15190
DOM,ESP,9672.54
MEX,ESP,12741.94
USA,ESP,554579.07
ARG,ESP,278012.2
BRA,ESP,1026.17
COL,ESP,187609.58
PER,ESP,2284.81
VEN,ESP,2402.7
CIV,AUT,11808.38
EGY,AUT,1246.71
MDG,AUT,135786.08
NER,AUT,1593
SYC,AUT,6007.1
ZAF,AUT,2008.15
ARE,AUT,47724
CHN,AUT,243639.08
GEO,AUT,44679
IND,AUT,3002.42
JPN,AUT,12799.3
KOR,AUT,2348.82
LBN,AUT,4302
MYS,AUT,290782.59
PHL,AUT,3971.09
QAT,AUT,1794.45
THA,AUT,3542.88
TUR,AUT,472739.75
XXB,AUT,6088.12
BGR,AUT,963623.54
BIH,AUT,231003.96
BLR,AUT,2700
BLX,AUT,37528251
CHE,AUT,14452802.77
CZE,AUT,13195252.4
DEU,AUT,312404157
DNK,AUT,651859.34
ESP,AUT,1689976.07
FIN,AUT,84721.58
FRA,AUT,13472403.28
GBR,AUT,2812944.41
GRC,AUT,72242.45
HRV,AUT,3049344.95
HUN,AUT,4239848.17
IRL,AUT,118688.74
ITA,AUT,22470505.59
LTU,AUT,560369.98
LVA,AUT,123576.49
MKD,AUT,26658.84
NLD,AUT,28605162.86
NOR,AUT,943092.43
POL,AUT,13138191.97
PRT,AUT,407559.57
ROU,AUT,826163.61
RUS,AUT,1693.98
SRB,AUT,477826.56
SVK,AUT,19215966.63
SVN,AUT,403508.17
SWE,AUT,1393887.32
UKR,AUT,1478.63
BLM,AUT,20104
CAN,AUT,47979.55
JAM,AUT,51363.49
MEX,AUT,17211.18
USA,AUT,255522.51
BRA,AUT,6637.08
CHL,AUT,5555.83
ECU,AUT,49750.03
PER,AUT,15508.22
EGY,RUS,5528
ARE,RUS,33243
ARM,RUS,278376.18
AZE,RUS,1380194.7
CHN,RUS,665508.81
GEO,RUS,27353.52
IDN,RUS,1048.53
IND,RUS,120152.87
IRN,RUS,31657
ISR,RUS,145826.46
JOR,RUS,17927.13
JPN,RUS,558342.57
KAZ,RUS,11303575.92
KGZ,RUS,6526.35
KOR,RUS,1250843.5
LBN,RUS,83243
MYS,RUS,14242.64
PHL,RUS,115537.65
SAU,RUS,8137
THA,RUS,115192.01
TUR,RUS,1984459.4
UZB,RUS,432770
AUT,RUS,1113636.75
BGR,RUS,581852.07
BLR,RUS,34951141.9
BLX,RUS,27460779.87
CHE,RUS,9795518.24
CZE,RUS,571205.26
DEU,RUS,100323233
DNK,RUS,775661.43
ESP,RUS,2093311.31
EST,RUS,767391.24
FIN,RUS,8753438.9
FRA,RUS,11626930.28
GBR,RUS,3947722.64
GRC,RUS,76528.43
HRV,RUS,4641
HUN,RUS,1768894.22
IRL,RUS,20128.29
ITA,RUS,57885099.94
LTU,RUS,5755634.46
LVA,RUS,4094401.27
MDA,RUS,408136.17
NLD,RUS,9530423.53
NOR,RUS,80775.79
POL,RUS,48337058.15
PRT,RUS,3124
ROU,RUS,292536.03
SRB,RUS,744941.43
SVK,RUS,964362.33
SVN,RUS,99701.37
SWE,RUS,2114253.3
UKR,RUS,113453.2
CAN,RUS,9584.21
GTM,RUS,24649.1
USA,RUS,2108924.27
NZL,RUS,83184.26
COL,RUS,465271.81
ECU,RUS,9096.29
MDG,CZE,24092.07
STP,CZE,4878.12
ZAF,CZE,1404
CHN,CZE,202922.75
GEO,CZE,1868.2
HKG,CZE,12934.94
IND,CZE,55830.93
ISR,CZE,32191.5
KOR,CZE,1938.06
LBN,CZE,1025
MYS,CZE,76591.18
THA,CZE,36251.2
TUR,CZE,1396229.19
AUT,CZE,30165241.13
BGR,CZE,2946142.84
BLR,CZE,6598.81
BLX,CZE,46765607.19
CHE,CZE,4251835.18
DEU,CZE,105023059.6
DNK,CZE,250900.37
ESP,CZE,2864124.94
FIN,CZE,1414246.04
FRA,CZE,12156170.69
GBR,CZE,4780344.09
GRC,CZE,117096.98
HRV,CZE,446352.5
HUN,CZE,12430353.08
IRL,CZE,1324110.74
ITA,CZE,20227408.61
LTU,CZE,583597.99
LVA,CZE,193850
MDA,CZE,1578.37
MKD,CZE,124736.33
NLD,CZE,9121187.49
NOR,CZE,27024
POL,CZE,90977213.46
PRT,CZE,58670.96
ROU,CZE,619542.51
RUS,CZE,127760.35
SRB,CZE,86931.06
SVK,CZE,46207659.87
SVN,CZE,445475.49
SWE,CZE,1168359.83
UKR,CZE,135634.32
CAN,CZE,303434.02
USA,CZE,702139.92
AUS,CZE,75347.82
NRU,CZE,32530.7
BRA,CZE,1241.95
COL,CZE,4213.73
PER,CZE,21366.42
CIV,CHE,365073
GHA,CHE,1878
MAR,CHE,14301
MDG,CHE,15884.32
RWA,CHE,5138
TUN,CHE,18501
TZA,CHE,1483.22
UGA,CHE,56403
ZAF,CHE,7806.43
ARE,CHE,22619
ARM,CHE,2319.81
CHN,CHE,154280.24
IDN,CHE,2061.68
ISR,CHE,28711.79
JPN,CHE,14797.89
KOR,CHE,9911.58
LKA,CHE,7760.19
MYS,CHE,8664.41
PHL,CHE,11322.91
SGP,CHE,4429.83
THA,CHE,64368.68
TUR,CHE,151046.83
VNM,CHE,45119
XXB,CHE,10815.67
AUT,CHE,7647831.72
BGR,CHE,7641.11
BLX,CHE,20260359.97
CZE,CHE,200458.85
DEU,CHE,116192619.8
DNK,CHE,169191.7
ESP,CHE,2144000.77
FRA,CHE,31415058.35
GBR,CHE,5224532.72
GRC,CHE,17282.94
HRV,CHE,210414.69
HUN,CHE,1079355.82
IRL,CHE,52275.02
ITA,CHE,21735267.67
LTU,CHE,5669.32
MKD,CHE,44797.06
NLD,CHE,17535252.62
NOR,CHE,51278
POL,CHE,15154387.18
PRT,CHE,224672.63
ROU,CHE,7463
RUS,CHE,12443
SRB,CHE,259114.62
SVK,CHE,309775.96
SVN,CHE,3478.79
SWE,CHE,1983157.95
CAN,CHE,37845.38
CRI,CHE,2233.52
MEX,CHE,17517.42
USA,CHE,1465945.38
AUS,CHE,8500.68
ARG,CHE,1511.33
BRA,CHE,2301.6
COL,CHE,7643.92
ECU,CHE,17592.33
