country_origin_id,country_destination_id,export_val
ITA,TUR,14662260.56
ITA,UZB,1102445
ITA,VNM,187151.92
ITA,XXB,21652386.03
ITA,YEM,1124334.73
ITA,ALB,2165070.58
ITA,AUT,22470505.59
ITA,BGR,3279769.63
ITA,BIH,3229059.8
ITA,BLR,658536.37
ITA,BLX,80645167.77
ITA,CHE,21735267.67
ITA,CZE,20227408.61
ITA,DEU,112311634.8
ITA,DNK,5530207.33
ITA,ESP,91059170.79
ITA,EST,1159534.74
ITA,FIN,5661466.74
ITA,FRA,270762410.3
ITA,GBR,103222619.5
ITA,GIB,16184
ITA,GRC,14710255.17
ITA,HRV,9503767.81
ITA,HUN,17602588.25
ITA,IRL,5514083.88
ITA,ISL,502303.27
ITA,LTU,3039863.5
ITA,LVA,953251.31
ITA,MDA,440476.71
ITA,MKD,1393783.13
ITA,MLT,9237740.35
ITA,MNE,1089619.99
ITA,NLD,77195274.46
ITA,NOR,3456104.16
ITA,POL,69335216.42
ITA,PRT,31327770.52
ITA,ROU,9476832.95
ITA,RUS,57885099.94
ITA,SRB,4309798.88
ITA,SVK,4001858.04
ITA,SVN,13973319.41
ITA,SWE,8297230.44
ITA,UKR,3360341.94
ITA,ABW,47056
ITA,BHS,4465.13
ITA,BLM,1110
ITA,BMU,2903.55
ITA,BRB,19472.57
ITA,CAN,19602683.95
ITA,CRI,342244.42
ITA,CUB,50124
ITA,CYM,24832
ITA,DOM,794905.63
ITA,GRL,48477
ITA,GTM,79891.81
ITA,HND,12512
ITA,MAF,2359
ITA,MEX,3967991.94
ITA,NIC,29319.18
ITA,PAN,63914.07
ITA,SLV,106593.51
ITA,TTO,45083
ITA,USA,39583135.22
ITA,VCT,1311.36
ITA,VGB,1114
ITA,AUS,34574261.21
ITA,NCL,1494332.33
ITA,NZL,2201879.55
ITA,PYF,1797090.52
ITA,ARG,3971305.3
ITA,BOL,119647.61
ITA,BRA,14681846.98
ITA,CHL,4252451.57
ITA,COL,3844396.64
ITA,ECU,2973761.56
ITA,PER,2777116.73
ITA,PRY,259561.91
ITA,URY,456657.32
ITA,VEN,388207
NLD,AGO,251089.29
NLD,BDI,16215
NLD,BEN,18224.2
NLD,BFA,3723.19
NLD,CIV,209144.96
NLD,CMR,148901.23
NLD,COD,1131
NLD,COG,190126
NLD,CPV,211787.46
NLD,DJI,348809
NLD,DZA,9109272.92
NLD,EGY,7961980.13
NLD,ETH,699446.68
NLD,GHA,3594120
NLD,GIN,12653
NLD,GMB,62689
NLD,GNQ,51685
NLD,KEN,682839
NLD,LBR,1899509
NLD,LBY,7673833
NLD,MAR,3756561.8
NLD,MDG,110721
NLD,MLI,75662
NLD,MOZ,62839.34
NLD,MRT,6766
NLD,MUS,958230.22
NLD,MWI,104200.73
NLD,NGA,2531299
NLD,RWA,25011.34
NLD,SDN,257215.45
NLD,SEN,206346.8
NLD,SLE,83661.65
NLD,SOM,4144
NLD,SYC,137538.29
NLD,TCD,5574
NLD,TGO,61724.78
NLD,TUN,1088719.07
NLD,TZA,316938.13
NLD,UGA,97411.53
NLD,ZAF,4013695.27
NLD,ZMB,99812.72
NLD,ZWE,92823.97
NLD,AFG,418424.75
NLD,ARE,71328781
NLD,ARM,253223.15
NLD,AZE,367564.29
NLD,BGD,551452
NLD,BHR,3619675.69
NLD,BRN,50519.41
NLD,CHN,3949545.78
NLD,CYP,4274127.22
NLD,GEO,459576.47
NLD,HKG,46992094.7
NLD,IDN,1171269
NLD,IND,7512237.81
NLD,IRN,676033
NLD,IRQ,2582617
NLD,ISR,5474580.36
NLD,JOR,7077397.17
NLD,JPN,6202713.51
NLD,KAZ,354838.61
NLD,KGZ,105862.8
NLD,KHM,17841.43
NLD,KOR,15402573.26
NLD,KWT,8605114
NLD,LBN,6047293
NLD,LKA,3508246.69
NLD,MAC,115452
NLD,MDV,163740.92
NLD,MNG,1516053.32
NLD,MYS,4672858.69
NLD,NPL,1452275.29
NLD,OMN,1865109.38
NLD,PAK,1233476.51
NLD,PHL,6044481.36
NLD,PSE,5276492.54
NLD,QAT,7358976.72
NLD,SAU,46024949.9
NLD,SGP,13700545.45
NLD,SYR,220612
NLD,THA,2305768.13
NLD,TKM,2769
NLD,TUR,13497165.7
NLD,UZB,11976
NLD,VNM,170212.9
NLD,XXB,2387086.04
NLD,YEM,4038
NLD,ALB,672266.24
NLD,AND,1893870
NLD,AUT,28605162.86
NLD,BGR,3792421.34
NLD,BIH,607625.35
NLD,BLR,304785.47
NLD,BLX,111628483.6
NLD,CHE,17535252.62
NLD,CZE,9121187.49
NLD,DEU,310502762.9
NLD,DNK,20712427.27
NLD,ESP,25701069.63
NLD,EST,1711078.37
NLD,FIN,8497238.42
NLD,FRA,178370655.3
NLD,GBR,192999493.4
NLD,GIB,7345
NLD,GRC,7468442.4
NLD,HRV,3596231.86
NLD,HUN,10112540.91
NLD,IRL,11883670.39
NLD,ISL,1518450.88
NLD,ITA,18118009.78
NLD,LTU,3478044.03
NLD,LVA,1850397.1
NLD,MDA,210661.02
NLD,MKD,423585.73
NLD,MLT,4037409.99
NLD,MNE,744062.37
NLD,NOR,21996461.91
NLD,POL,32730262.79
NLD,PRT,10265483.28
NLD,ROU,7849259.3
NLD,RUS,9530423.53
NLD,SRB,1876387.55
NLD,SVK,2723634.84
NLD,SVN,2162336.23
NLD,SWE,40505407.36
NLD,UKR,5472975.25
NLD,ABW,919669.71
NLD,ATG,11783.77
NLD,BES,94178
NLD,BHS,54420.65
NLD,BMU,46541
NLD,BRB,412221.27
NLD,CAN,5724555.74
NLD,CRI,148923.89
NLD,CUB,1178
NLD,CUW,609858
NLD,DOM,215505.13
NLD,GRL,93216.37
NLD,GTM,25059.72
NLD,HTI,43446
NLD,JAM,291082.24
NLD,MAF,134765
NLD,MEX,163038.43
NLD,PAN,3241512
NLD,TTO,86245
NLD,USA,12738445.12
NLD,AUS,8362098.93
NLD,FJI,172256.01
NLD,GUM,638893
NLD,NCL,454590.24
NLD,NZL,1478973.18
NLD,PLW,14554.01
NLD,PNG,33407
NLD,PYF,319781.43
NLD,ARG,55499.99
NLD,BRA,753468.02
NLD,CHL,2876099.79
NLD,COL,289461
NLD,FLK,17160
NLD,PER,32912.34
NLD,PRY,338200
NLD,SUR,2018960
NLD,URY,1449403.65
NLD,VEN,44732
POL,AGO,172698.19
POL,BEN,110519
POL,CIV,302910.73
POL,CMR,512781.17
POL,DJI,167111
POL,DZA,8148885.52
POL,EGY,5875453.32
POL,ETH,139258.84
POL,GHA,22420
POL,GMB,421268
POL,KEN,96278
POL,LBY,8630165
POL,MAR,39767.83
POL,MDG,14523.83
POL,MOZ,69863.33
POL,MUS,130976.33
POL,MWI,1637.49
POL,RWA,1032.51
POL,SDN,197666
POL,SEN,227280.44
POL,SLE,6621
POL,TGO,2900
POL,TUN,210658
POL,TZA,2402.32
POL,UGA,8616.56
POL,ZAF,8088428.52
POL,ZMB,25091.39
POL,ATF,13930
POL,AFG,67891.5
POL,ARE,12071337
POL,ARM,3050497.68
POL,AZE,2397907.51
POL,BGD,31524
POL,BHR,1735647.86
POL,CHN,29187578.36
POL,CYP,537469.87
POL,GEO,1558817.71
POL,HKG,6315468.81
POL,IDN,1056
POL,IND,1418132.7
POL,IRN,1203503
POL,IRQ,388388
POL,ISR,5553723.85
POL,JOR,2606819.2
POL,JPN,1811388.64
POL,KAZ,213802.45
POL,KGZ,112273.25
POL,KOR,1960477.46
POL,KWT,5806255.2
POL,LBN,5706267
POL,LKA,292705.04
POL,MDV,292749.36
POL,MNG,2293032.72
